Seed,Model,RE,RMSE,MAE
1,exp-0_det_s-1,0.1809672386895476,0.10093423568333919,0.07068944939872251
1,exp-0_gru_s-1,1.0,0.03416815371868521,0.023331424231948224
1,exp-0_lstm_s-1,0.1357254290171607,0.013963061946696458,0.010675465801189436
2,exp-0_det_s-2,0.0842433697347894,0.050660743318807704,0.037941203674459065
2,exp-0_gru_s-2,0.26365054602184085,0.015226920023399124,0.011201272195309938
2,exp-0_lstm_s-2,1.0,0.026120779833953105,0.020094212419448344
3,exp-0_det_s-3,0.0405616224648986,0.03569786000815476,0.02824062977439493
3,exp-0_gru_s-3,1.0,0.07952095283889192,0.06270961953716465
3,exp-0_lstm_s-3,0.22776911076443057,0.02303793540843734,0.017469963503239094
4,exp-0_det_s-4,1.0,0.045766078482443094,0.033672933283558255
4,exp-0_gru_s-4,1.0,0.07006512227056605,0.05248705296057369
4,exp-0_lstm_s-4,1.0,0.06646716880367137,0.04994605135556986
5,exp-0_det_s-5,1.0,0.045437441715636226,0.0325387121659763
5,exp-0_gru_s-5,0.296411856474259,0.16326682967092562,0.12057426540979578
5,exp-0_lstm_s-5,1.0,0.03871044046104534,0.033477807309851816
