dataset,test_bat,seed,model,re,rmse,mae
NASA,B0005,1,lstm,0.168,0.0509358795316945,0.0484000297794608
NASA,B0005,1,gru,0.192,0.0600569759011655,0.0568775109128081
NASA,B0005,1,det,0.2,0.0519895185016112,0.0499271406973134
NASA,B0005,1,model_v1,0.192,0.0530522760030744,0.0507393923307737
NASA,B0005,2,lstm,0.176,0.0528139566501251,0.0504649255187099
NASA,B0005,2,gru,0.176,0.0651512331750301,0.0608466919342272
NASA,B0005,2,det,0.224,0.0589694771123887,0.0574948493427053
NASA,B0005,2,model_v1,0.224,0.0623403079163707,0.06068384493589
NASA,B0005,3,lstm,0.192,0.0442141251148587,0.04287396231255
NASA,B0005,3,gru,0.2,0.0506627016454934,0.0492907883857328
NASA,B0005,3,det,0.2,0.0527124719453448,0.0513082989792171
NASA,B0005,3,model_v1,0.208,0.0499732616826225,0.047779447544492
NASA,B0005,4,lstm,0.176,0.0480611969875422,0.0462676156484712
NASA,B0005,4,gru,0.192,0.0545710826040614,0.0525986307191152
NASA,B0005,4,det,0.128,0.0357348452359574,0.0316303554403156
NASA,B0005,4,model_v1,0.184,0.0318656749812091,0.0263212894861261
NASA,B0005,5,lstm,0.184,0.0431974807381788,0.0418155708377474
NASA,B0005,5,gru,0.208,0.0557995600669163,0.0543359497204793
NASA,B0005,5,det,0.152,0.0493196930721926,0.0468872174143751
NASA,B0005,5,model_v1,0.184,0.0518282935622963,0.0495438784567548
NASA,B0006,1,lstm,0.091743119266055,0.0265622163900172,0.0215784889451585
NASA,B0006,1,gru,0.0458715596330275,0.0311774891013734,0.0235392084237975
NASA,B0006,1,det,0.110091743119266,0.0302088197384999,0.0258455309616546
NASA,B0006,1,model_v1,0.2018348623853211,0.0453143740850416,0.0390761056132373
NASA,B0006,2,lstm,0.091743119266055,0.0258261535753654,0.0215889132433402
NASA,B0006,2,gru,0.073394495412844,0.0288945707125858,0.0219432920434595
NASA,B0006,2,det,0.018348623853211,0.0266474916904978,0.0213131212252229
NASA,B0006,2,model_v1,0.0,0.0338688170868802,0.0258902818893399
NASA,B0006,3,lstm,0.1559633027522936,0.0419166924645776,0.0362248321893553
