dataset,test_bat,seed,model,re,rmse,mae,time
NASA,B0005,1,model_v2_2,0.232,0.0516214594356157,0.0498423134448291,118.39944744110107
NASA,B0005,1,model_v4_1,0.184,0.048020708305969,0.0466002773734368,247.32387161254883
NASA,B0005,1,model_v5,0.208,0.0569107228998815,0.0553476313865473,119.56562852859496
NASA,B0005,2,model_v2_2,0.192,0.049102409760827,0.0476613259030005,109.6534857749939
NASA,B0005,2,model_v4_1,0.232,0.063794530986435,0.060533630294424,249.78371596336365
NASA,B0005,2,model_v5,0.208,0.0584682063926202,0.056303438346207,124.71185779571532
NASA,B0005,3,model_v2_2,0.184,0.042871491883017,0.0414010063157129,115.23358964920044
NASA,B0005,3,model_v4_1,0.008,0.0790361689193953,0.0698792452048653,249.4160902500153
NASA,B0005,3,model_v5,0.2,0.0513895425717464,0.0495299320635405,123.1306562423706
NASA,B0005,4,model_v2_2,0.216,0.0603850925447475,0.0575930362380933,112.99053072929382
NASA,B0005,4,model_v4_1,0.408,0.1251506072815497,0.1126252266178397,251.4545328617096
NASA,B0005,4,model_v5,0.2,0.0511905271375412,0.0493961354941363,123.60274720191956
NASA,B0005,5,model_v2_2,0.056,0.0354452240908238,0.0302382053027892,113.30235981941225
NASA,B0005,5,model_v4_1,0.224,0.0520555262273221,0.0508213208289281,239.00321054458612
NASA,B0005,5,model_v5,0.192,0.0502173137673031,0.0486382575143328,98.07524275779724
NASA,B0006,1,model_v2_2,0.4862385321100917,0.0803204776836917,0.0702596485691545,100.143976688385
NASA,B0006,1,model_v4_1,0.2752293577981651,0.0411029330967566,0.0361193164909973,247.0939655303955
NASA,B0006,1,model_v5,1.0,0.0999621767577647,0.086382210198255,123.55769753456116
NASA,B0006,2,model_v2_2,0.2568807339449541,0.0410247415871291,0.0356607876676544,113.90887308120728
NASA,B0006,2,model_v4_1,0.3761467889908257,0.0494406572468505,0.0428112015950901,210.85124921798703
NASA,B0006,2,model_v5,1.0,0.0977821128300182,0.0835009428689037,97.10589742660522
NASA,B0006,3,model_v2_2,1.0,0.1097316378442996,0.0952819741133682,112.67435932159424
NASA,B0006,3,model_v4_1,0.036697247706422,0.0319475806174441,0.0268304475320324,247.7592854499817
NASA,B0006,3,model_v5,1.0,0.1257796545227905,0.110204446713379,98.02880263328552
NASA,B0006,4,model_v2_2,0.2935779816513761,0.0415221299691182,0.0358653581677918,88.6055977344513
NASA,B0006,4,model_v4_1,0.0642201834862385,0.0407544956870292,0.0342755369368111,209.38687801361084
NASA,B0006,4,model_v5,1.0,0.1129059102061603,0.0981972414199973,96.06354069709778
NASA,B0006,5,model_v2_2,0.1376146788990825,0.0392232046772866,0.0336389943176802,88.23278069496155
NASA,B0006,5,model_v4_1,0.3761467889908257,0.0577434831981179,0.0495734410432229,209.88479471206665
NASA,B0006,5,model_v5,1.0,0.1390680844332302,0.1212914733607212,97.18312978744508
NASA,B0007,1,model_v2_2,0.3905325443786982,0.070807579689491,0.0684904052766825,87.61675477027893
NASA,B0007,1,model_v4_1,0.3195266272189349,0.0597433938700977,0.0569593549779543,207.6202065944672
NASA,B0007,1,model_v5,0.3609467455621302,0.0682992834746544,0.067253375543461,95.5933768749237
