,dataset,test_bat,seed,model,re,rmse,mae
0,NASA,B0005,1,lstm,0.168,0.050935879531694594,0.04840002977946086
1,NASA,B0005,1,gru,0.192,0.06005697590116557,0.05687751091280812
2,NASA,B0005,1,det,0.2,0.05198951850161125,0.04992714069731342
3,NASA,B0005,1,model_v1,0.192,0.05305227600307444,0.05073939233077379
4,NASA,B0005,2,lstm,0.176,0.05281395665012513,0.05046492551870999
5,NASA,B0005,2,gru,0.176,0.06515123317503017,0.06084669193422726
6,NASA,B0005,2,det,0.224,0.05896947711238875,0.05749484934270532
7,NASA,B0005,2,model_v1,0.224,0.062340307916370755,0.06068384493589005
8,NASA,B0005,3,lstm,0.192,0.04421412511485871,0.042873962312550036
9,NASA,B0005,3,gru,0.2,0.05066270164549345,0.049290788385732864
10,NASA,B0005,3,det,0.2,0.05271247194534481,0.05130829897921717
11,NASA,B0005,3,model_v1,0.208,0.04997326168262259,0.04777944754449203
12,NASA,B0005,4,lstm,0.176,0.048061196987542285,0.046267615648471296
13,NASA,B0005,4,gru,0.192,0.054571082604061474,0.05259863071911529
14,NASA,B0005,4,det,0.128,0.03573484523595742,0.03163035544031561
15,NASA,B0005,4,model_v1,0.184,0.03186567498120911,0.02632128948612618
16,NASA,B0005,5,lstm,0.184,0.04319748073817882,0.04181557083774748
17,NASA,B0005,5,gru,0.208,0.055799560066916304,0.054335949720479344
18,NASA,B0005,5,det,0.152,0.04931969307219266,0.046887217414375154
19,NASA,B0005,5,model_v1,0.184,0.051828293562296325,0.04954387845675483
20,NASA,B0006,1,lstm,0.09174311926605505,0.026562216390017237,0.021578488945158573
21,NASA,B0006,1,gru,0.045871559633027525,0.031177489101373492,0.023539208423797597
22,NASA,B0006,1,det,0.11009174311926606,0.03020881973849992,0.025845530961654668
23,NASA,B0006,1,model_v1,0.2018348623853211,0.045314374085041645,0.0390761056132373
24,NASA,B0006,2,lstm,0.09174311926605505,0.02582615357536549,0.021588913243340207
25,NASA,B0006,2,gru,0.07339449541284404,0.028894570712585894,0.021943292043459576
26,NASA,B0006,2,det,0.01834862385321101,0.026647491690497817,0.021313121225222914
27,NASA,B0006,2,model_v1,0.0,0.033868817086880255,0.025890281889339967
28,NASA,B0006,3,lstm,0.1559633027522936,0.04191669246457767,0.03622483218935536
29,NASA,B0006,3,gru,0.05504587155963303,0.024547794227321763,0.019559924651962022
30,NASA,B0006,3,det,0.09174311926605505,0.027889283682016926,0.02381977015486148
31,NASA,B0006,3,model_v1,0.045871559633027525,0.02676524275786172,0.021421075983499717
32,NASA,B0006,4,lstm,0.08256880733944955,0.028081166083993435,0.02329948832037162
33,NASA,B0006,4,gru,0.07339449541284404,0.02495574104706539,0.018721982044121253
34,NASA,B0006,4,det,0.009174311926605505,0.058396508582848144,0.04629837451062749
35,NASA,B0006,4,model_v1,0.11009174311926606,0.054739958213046225,0.046625183213631474
36,NASA,B0006,5,lstm,0.09174311926605505,0.030991227724025502,0.02606868682459201
37,NASA,B0006,5,gru,0.045871559633027525,0.026790195612518383,0.02062892002616962
38,NASA,B0006,5,det,0.10091743119266056,0.02995593066441828,0.02509089024176984
39,NASA,B0006,5,model_v1,0.05504587155963303,0.028268266047915075,0.02268138947230665
40,NASA,B0007,1,lstm,0.3431952662721893,0.062386167360597156,0.061187635628199184
41,NASA,B0007,1,gru,0.35502958579881655,0.07165371000427256,0.06991807442783912
42,NASA,B0007,1,det,0.38461538461538464,0.13869260077728127,0.10749022232470551
43,NASA,B0007,1,model_v1,0.38461538461538464,0.0650136332857708,0.06319602543151838
44,NASA,B0007,2,lstm,0.34911242603550297,0.06638978527648955,0.06542640280019606
45,NASA,B0007,2,gru,0.33136094674556216,0.06759623612251522,0.06537381397272629
46,NASA,B0007,2,det,0.378698224852071,0.095932098919991,0.08681583617167137
47,NASA,B0007,2,model_v1,0.3609467455621302,0.08546772026416001,0.08025921421811852
48,NASA,B0007,3,lstm,0.33136094674556216,0.05921454486628247,0.05562430326374909
49,NASA,B0007,3,gru,0.38461538461538464,0.07562206978070571,0.07453776241826457
50,NASA,B0007,3,det,0.3431952662721893,0.08458117560427308,0.07849754907645813
51,NASA,B0007,3,model_v1,0.38461538461538464,0.07252791658013644,0.06882505302255051
52,NASA,B0007,4,lstm,0.34911242603550297,0.06414514536042185,0.0630059018080257
53,NASA,B0007,4,gru,0.34911242603550297,0.06970050505628894,0.06790976487652531
54,NASA,B0007,4,det,0.21301775147928995,0.08936193548146294,0.05609440348586843
55,NASA,B0007,4,model_v1,0.35502958579881655,0.09904453675233693,0.08685774485968678
56,NASA,B0007,5,lstm,0.3431952662721893,0.05761367513370596,0.05606340289035256
57,NASA,B0007,5,gru,0.3609467455621302,0.08055138898328401,0.07646133091633997
58,NASA,B0007,5,det,0.3609467455621302,0.06522639027808373,0.06398796118082166
59,NASA,B0007,5,model_v1,0.3668639053254438,0.06125424990118452,0.05949488553265722
60,NASA,B0018,1,lstm,0.041237113402061855,0.017609222216930343,0.012132176570334531
61,NASA,B0018,1,gru,0.061855670103092786,0.029236327318453645,0.02124262402618173
62,NASA,B0018,1,det,0.15463917525773196,0.022701535881926953,0.018957104272131653
63,NASA,B0018,1,model_v1,0.030927835051546393,0.01892603263931635,0.015004673443018365
64,NASA,B0018,2,lstm,0.030927835051546393,0.017979886790260996,0.012057077356699064
65,NASA,B0018,2,gru,0.0,0.021941735244620418,0.014677553881730768
66,NASA,B0018,2,det,0.020618556701030927,0.017732090018260132,0.01197319185748957
67,NASA,B0018,2,model_v1,0.020618556701030927,0.015859003678769554,0.012779515970182561
68,NASA,B0018,3,lstm,0.0,0.016320104987616945,0.012869884902040916
69,NASA,B0018,3,gru,0.061855670103092786,0.024119872281022102,0.016148316978018905
70,NASA,B0018,3,det,0.05154639175257732,0.01799710087702369,0.013009538086900328
71,NASA,B0018,3,model_v1,0.010309278350515464,0.01712574990926428,0.012554333213146019
